class,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
Slytherin,-0.07092936600267345,-0.7343721814130664,-1.1079777372761237,0.7311911433804342,-1.5131028973162737,-0.38269289522244726,-0.6476870489336547,-0.05368459028710189,0.2615743689059245,0.618374489331555,-0.028081459816853723,-0.7382936142653934,-0.547128477619456
Ravenclaw,0.09635439736064473,-0.5439728011445627,0.556211092225437,0.4974867752998116,0.23066095439846818,0.8633439714618028,0.8081302191240125,-0.019564034958671244,-0.16795123076766424,-0.27757404510790057,0.0007987968514749089,0.7414166225332672,0.30797790569558114
Hufflepuff,0.2074218210751812,1.1135869075468823,1.2364308453950077,-1.0972036982625353,0.43926260554460633,-0.7039668389104918,-1.3850790341932129,0.7739191335855377,0.5899081639325161,-0.49392152911682896,0.08679064353380989,-0.05800105000367989,-0.5244177576561734
Gryffindor,-0.5490532837105164,0.31816297999742993,-1.1288711719673246,-0.31305534133057555,0.4797636399750226,-0.02746595684788179,0.9496224012980486,-0.7229417130333867,-1.2439394282328606,0.14813430750667658,0.05831785737995697,-0.4126821287371717,0.9218724906974499
